iter	MultiClass
0	1.086706454
1	1.075437196
2	1.065284602
3	1.054012463
4	1.043762957
5	1.033589141
6	1.024452259
7	1.015073576
8	1.006620872
9	0.9983666973
10	0.9913396161
11	0.9843028454
12	0.9779453412
13	0.9713735883
14	0.9646599062
15	0.9580030733
16	0.9521259924
17	0.9466931276
18	0.9408882552
19	0.936540813
20	0.9317290791
21	0.9272229081
22	0.9225012874
23	0.9177527158
24	0.9130463768
25	0.9084001207
26	0.9054773914
27	0.9016110508
28	0.8981216329
29	0.8950343133
30	0.8916010477
31	0.88806221
32	0.8848700523
33	0.8820374303
34	0.8791730742
35	0.8760395085
36	0.8726297902
37	0.869984862
38	0.8671249671
39	0.8641589308
40	0.8618321623
41	0.8598610804
42	0.85738857
43	0.8547867914
44	0.852288963
45	0.8497760569
46	0.8473205649
47	0.8448564456
48	0.8425178245
49	0.8404222142
50	0.8386488711
51	0.8361670713
52	0.8343160477
53	0.832328363
54	0.8304312355
55	0.8291430736
56	0.827589197
57	0.8260419478
58	0.8243137381
59	0.8228717748
60	0.8209405593
61	0.8197409093
62	0.8180896645
63	0.8163469177
64	0.8149803786
65	0.8131042181
66	0.8117111573
67	0.8104859321
68	0.808876058
69	0.8075933706
70	0.806260401
71	0.8047287936
72	0.8038270131
73	0.8024851902
74	0.8016884019
75	0.8004552185
76	0.7994656204
77	0.7983182309
78	0.7971585465
79	0.7961060893
80	0.7951027081
81	0.7939535881
82	0.792970959
83	0.7919571908
84	0.7910556939
85	0.7899457639
86	0.7891105382
87	0.7881665338
88	0.7873844957
89	0.7864924315
90	0.7856877433
91	0.7849092761
92	0.7843618646
93	0.7836673105
94	0.7827382467
95	0.7820157778
96	0.7809382483
97	0.7799881295
98	0.7791233306
99	0.7781535153
100	0.7770666029
101	0.7762508312
102	0.7754109037
103	0.7743976282
104	0.7737409909
105	0.7728363011
106	0.7719754081
107	0.7713545346
108	0.7706159527
109	0.7698554414
110	0.7694162355
111	0.7688307068
112	0.7679667035
113	0.7673624203
114	0.7666365301
115	0.7660250087
116	0.7653755633
117	0.7647237518
118	0.7643726958
119	0.7637741968
120	0.7633377967
121	0.7627450896
122	0.7621529632
123	0.7615848922
124	0.7611116487
125	0.7606441378
126	0.7598977111
127	0.7592582335
128	0.7586156188
129	0.7580840273
130	0.7574104003
131	0.7567632234
132	0.7561092144
133	0.7554929017
134	0.7551667102
135	0.7546150798
136	0.7541298012
137	0.7536430387
138	0.7529322749
139	0.7523690675
140	0.751971852
141	0.7515944131
142	0.7509526201
143	0.750475313
144	0.7498779002
145	0.7493475711
146	0.7488280318
147	0.748209611
148	0.7475961485
149	0.747078737
150	0.7466454373
151	0.7463012394
152	0.7459850543
153	0.7454044531
154	0.7448851085
155	0.744521755
156	0.7440015995
157	0.7434467632
158	0.7428801769
159	0.7423914734
160	0.7419089892
161	0.7415247432
162	0.7411475913
163	0.7408084969
164	0.7403687636
165	0.7396869379
166	0.7392223029
167	0.7386716425
168	0.7384170757
169	0.7380206172
170	0.7377607576
171	0.7372871513
172	0.7370004787
173	0.7365365939
174	0.7361598314
175	0.7358316878
176	0.735510186
177	0.7350191438
178	0.7347105001
179	0.7343691864
180	0.7340054691
181	0.7335356305
182	0.733039105
183	0.7326337086
184	0.732240134
185	0.7318439021
186	0.7315836203
187	0.7311110931
188	0.7307828385
189	0.7302884707
190	0.7298163575
191	0.7293029964
192	0.7288837583
193	0.728462413
194	0.7280911491
195	0.7276265074
196	0.7271726006
197	0.7267434815
198	0.7264508442
199	0.7260548519
200	0.7256123497
201	0.7251621899
202	0.7247505079
203	0.7242193387
204	0.7239298263
205	0.723659726
206	0.7231833082
207	0.7229118055
208	0.7223998088
209	0.7220403717
210	0.721585197
211	0.7212559548
212	0.7209282995
213	0.7207316524
214	0.7203413726
215	0.7201475652
216	0.7198364043
217	0.719469
218	0.719200771
219	0.7188355269
220	0.7184549746
221	0.7179888348
222	0.717498471
223	0.7171084843
224	0.7167072252
225	0.7162383151
226	0.7159045076
227	0.7155658416
228	0.7152077969
229	0.7147458836
230	0.7143958209
231	0.713918655
232	0.7134333845
233	0.7129689647
234	0.7125252776
235	0.7121043533
236	0.711628686
237	0.7113989675
238	0.7111641494
239	0.7109213639
240	0.7106694322
241	0.7102858546
242	0.7100475871
243	0.7097131991
244	0.7093314061
245	0.7090846793
246	0.7086570036
247	0.7083493024
248	0.7081086847
249	0.7077860159
250	0.7075171236
251	0.7072689445
252	0.7070292863
253	0.7067243848
254	0.7064954502
255	0.7063428328
256	0.7058780899
257	0.7055758652
258	0.7051897532
259	0.7048959331
260	0.7045451926
261	0.7041514723
262	0.7038456318
263	0.7035607491
264	0.7032356479
265	0.7028256549
266	0.7025072827
267	0.7022661283
268	0.7018709197
269	0.701529379
270	0.7012157888
271	0.700871571
272	0.7005000394
273	0.7001429485
274	0.6998608942
275	0.6993992542
276	0.6990306117
277	0.6986366951
278	0.6982902303
279	0.6981258411
280	0.6978433251
281	0.6974719741
282	0.6973034991
283	0.6969944412
284	0.6966871495
285	0.6964942136
286	0.6960961337
287	0.6957729613
288	0.6954030064
289	0.695001963
290	0.6948359519
291	0.6945457483
292	0.6942017211
293	0.6937978788
294	0.6934084038
295	0.6930838118
296	0.6927629444
297	0.6924389916
298	0.6921507527
299	0.6918609056
300	0.6914292817
301	0.6911489425
302	0.6909157859
303	0.6904094018
304	0.6901416709
305	0.6897937072
306	0.6894946708
307	0.6890821095
308	0.6887473727
309	0.6884966133
310	0.6881493372
311	0.687886419
312	0.6875810955
313	0.6871954783
314	0.6868884309
315	0.6866040676
316	0.6862755997
317	0.6859736252
318	0.68556561
319	0.6852924889
320	0.68501371
321	0.6846804779
322	0.6844129686
323	0.6840524715
324	0.6837211273
325	0.6833504855
326	0.6830565694
327	0.6827353941
