iter	Passed	Remaining
0	13	19670
1	25	18748
2	35	17708
3	45	17188
4	56	16905
5	66	16656
6	86	18505
7	97	18097
8	107	17822
9	117	17515
10	128	17436
11	142	17703
12	157	18047
13	170	18057
14	182	18019
15	193	17904
16	203	17761
17	214	17648
18	224	17528
19	235	17415
20	245	17265
21	255	17137
22	267	17164
23	279	17215
24	292	17240
25	302	17176
26	313	17116
27	324	17065
28	344	17469
29	355	17410
30	367	17406
31	378	17363
32	388	17289
33	402	17352
34	417	17483
35	427	17391
36	438	17324
37	448	17270
38	459	17200
39	469	17125
40	511	18205
41	1061	36857
42	1091	36978
43	1104	36538
44	1115	36072
45	1127	35647
46	1140	35248
47	1151	34845
48	1166	34547
49	1191	34566
50	1202	34168
51	1213	33784
52	1224	33429
53	1235	33084
54	1246	32753
55	1257	32419
56	1268	32111
57	1278	31794
58	1289	31502
59	1301	31244
60	1313	30981
61	1324	30730
62	1337	30511
63	1349	30281
64	1361	30049
65	1373	29839
66	1386	29654
67	1431	30141
68	1466	30403
69	1518	31023
70	1547	31144
71	1565	31044
72	1604	31372
73	1626	31337
74	1643	31235
75	1655	31015
76	1683	31109
77	1718	31323
78	1731	31142
79	1742	30928
80	1777	31136
81	1791	30976
82	1835	31340
83	1862	31393
84	1891	31487
85	1925	31657
86	1944	31589
87	2048	32873
88	2068	32793
89	2101	32924
90	2135	33065
91	2168	33181
92	2199	33274
93	2231	33377
94	2263	33478
95	2306	33739
96	2332	33734
97	2355	33701
98	2376	33624
99	2394	33528
100	2419	33507
101	2444	33510
102	2463	33409
103	2499	33545
104	2522	33509
105	2549	33524
106	2579	33576
107	2611	33657
108	2643	33735
109	2674	33789
110	2703	33835
111	2734	33889
112	2764	33932
113	2793	33966
114	2825	34025
115	2858	34106
116	2878	34022
117	2907	34054
118	2937	34084
119	2968	34135
120	2998	34175
121	3027	34197
122	3056	34215
123	3082	34202
124	3111	34227
125	3141	34253
126	3171	34286
127	3192	34216
128	3220	34231
129	3252	34275
130	3289	34376
131	3302	34228
132	3326	34189
133	3388	34538
134	3436	34747
135	3457	34681
136	3487	34692
137	3513	34677
138	3543	34698
139	3575	34736
140	3605	34752
141	3636	34772
142	3665	34779
143	3682	34679
144	3693	34517
145	3704	34357
146	3716	34206
147	3726	34044
148	3736	33881
149	3747	33723
150	3757	33572
151	3771	33445
152	3813	33572
153	3831	33491
154	3841	33335
155	3851	33179
156	3869	33100
157	3888	33025
158	3897	32872
159	3910	32746
160	3924	32642
161	3934	32495
162	3944	32354
163	3954	32212
164	3964	32075
165	3982	32006
166	3993	31872
167	4003	31741
168	4012	31603
169	4022	31468
170	4032	31338
171	4042	31211
172	4051	31080
173	4062	30955
174	4080	30896
175	4090	30769
176	4100	30649
177	4110	30529
178	4120	30407
179	4131	30298
180	4141	30181
181	4151	30063
182	4161	29950
183	4182	29917
184	4192	29802
185	4202	29689
186	4212	29574
187	4221	29462
188	4231	29353
189	4241	29241
190	4250	29133
191	4269	29088
192	4289	29049
193	4300	28950
194	4310	28847
195	4320	28744
196	4330	28644
197	4341	28545
198	4351	28451
199	4362	28354
200	4372	28259
201	4383	28164
202	4393	28068
203	4411	28028
204	4421	27928
205	4430	27831
206	4441	27740
207	4450	27645
208	4460	27554
209	4471	27467
210	4490	27430
211	4499	27339
212	4509	27249
213	4519	27157
214	4528	27066
215	4538	26976
216	4547	26888
217	4557	26803
218	4567	26718
219	4577	26634
220	4589	26559
221	4599	26478
222	4609	26393
223	4620	26320
224	4631	26243
225	4642	26169
226	4652	26092
227	4662	26013
228	4672	25934
229	4682	25857
230	4692	25779
231	4711	25752
232	4730	25722
233	4740	25647
234	4750	25569
235	4770	25548
236	4779	25471
237	4789	25397
238	4799	25321
239	4810	25253
240	4820	25180
241	4829	25103
242	4847	25075
243	4858	25007
244	4868	24936
245	4878	24866
246	4890	24807
247	4900	24739
248	4910	24671
249	4920	24602
250	4930	24535
251	4939	24464
252	4950	24399
253	4960	24331
254	4970	24265
255	4980	24199
256	4990	24136
257	5009	24113
258	5018	24048
259	5029	23985
260	5039	23922
261	5049	23858
262	5059	23795
263	5068	23730
264	5078	23667
265	5096	23644
266	5106	23582
267	5116	23518
268	5136	23506
269	5146	23446
270	5157	23387
271	5166	23326
272	5177	23268
273	5186	23208
274	5196	23148
275	5206	23087
276	5215	23028
277	5225	22970
278	5235	22913
279	5244	22852
280	5254	22794
281	5264	22738
282	5274	22682
283	5284	22625
284	5302	22607
285	5312	22551
286	5322	22496
287	5332	22439
288	5350	22419
289	5361	22369
290	5371	22317
291	5385	22280
292	5399	22242
293	5408	22186
294	5418	22131
295	5428	22079
296	5438	22027
297	5448	21975
298	5458	21924
299	5468	21872
300	5478	21821
301	5487	21768
302	5497	21718
303	5508	21669
304	5517	21615
305	5527	21567
306	5537	21518
307	5547	21468
308	5557	21420
309	5567	21370
310	5577	21322
311	5586	21273
312	5596	21225
313	5615	21210
314	5625	21161
315	5635	21116
316	5645	21067
317	5654	21019
318	5665	20973
319	5675	20927
320	5684	20880
321	5694	20833
322	5713	20819
323	5722	20770
324	5731	20722
325	5741	20675
326	5750	20628
327	5760	20584
328	5770	20538
329	5780	20494
330	5799	20480
331	5808	20435
332	5818	20392
333	5828	20346
334	5838	20302
335	5856	20286
336	5865	20242
337	5875	20199
338	5885	20157
339	5895	20112
340	5905	20071
341	5915	20031
342	5925	19988
343	5935	19946
344	5945	19904
345	5954	19861
346	5964	19818
347	5973	19773
348	5983	19732
349	5993	19692
350	6003	19652
351	6013	19612
352	6023	19572
353	6033	19531
354	6051	19516
355	6060	19476
356	6070	19436
357	6079	19394
358	6089	19355
359	6099	19316
360	6109	19277
361	6128	19265
362	6138	19226
363	6156	19213
364	6166	19174
365	6175	19135
366	6185	19096
367	6204	19084
368	6213	19045
369	6232	19033
370	6241	18994
371	6251	18955
372	6260	18917
373	6271	18880
374	6280	18842
375	6291	18807
376	6301	18769
377	6311	18733
378	6321	18697
379	6331	18661
380	6341	18624
381	6351	18587
382	6361	18552
383	6372	18519
384	6381	18482
385	6400	18470
386	6419	18460
387	6429	18427
388	6440	18393
389	6458	18382
390	6468	18346
391	6478	18312
392	6498	18305
393	6509	18271
394	6518	18236
395	6529	18202
396	6539	18170
397	6553	18145
398	6563	18111
399	6585	18108
