calls_count_in_weekdays,calls_count_out_weekdays,calls_count_in_weekends,calls_count_out_weekends,DATA_VOLUME_WEEKDAYS,DATA_VOLUME_WEEKENDS,sim_count,AVG_ARPU,ROUM,phone_value,car,gender,lifetime,how_long_same_model,ecommerce_score,fb_volume,instagram_volume,intagram_count,viber_volume,youtube_volume,google_volume,gmail_volume,skype_volume,twitter_volume,whatsapp_volume,applemaps_volume,telegram_volume,target,OS_Android,OS_Feature_Phone,OS_iOS,Fuel_Activity_Score,Is_Driver,Gamer_Score,Is_Gamer,Dating_App_User,White_Collar_Worker,Taxi_User,Niche_Social_User,Paid_Content_User,fb_Content_Heaviness,viber_Content_Heaviness,youtube_Content_Heaviness,google_Content_Heaviness,gmail_Content_Heaviness,skype_Content_Heaviness,twitter_Content_Heaviness,whatsapp_Content_Heaviness,applemaps_Content_Heaviness,telegram_Content_Heaviness,Financial_Activity_Score,Bank_Diversity,Has_Privat,Has_Oschad,Has_Alfa,Has_Raiffeisen,Commute_Distance_KM,Is_Big_City,City_Population_Proxy,Raion_Density,Weekend_Calls_Share,Weekend_Data_Share,Avg_Call_Duration_Weekdays,Avg_Call_Duration_Weekends,Digital_Introvert_Score,Brand_Huawei,Brand_Lenovo,Brand_Other,Brand_Samsung,Brand_Xiaomi,SCORING_Numeric,Is_Big_City_WORK,City_Population_Proxy_WORK,Raion_Density_WORK,Oblast_Density_HOME,Oblast_Density_WORK,Tech_Refresh_Rate,Affluence_Index
10.87,17.74,7.0,11.13,154.83700000000005,181.143,2.0,260.73945,0.0,3.0,1,0,38.7,25.0,1,79.6714,0.3104,2.42,2.2472,17.665,11.6511,0.5341,0.1087,1.113,5.12,0.0,0.0,4,1,0,0,0.0,0,0.0012,1,0,1,0,0,0,0.1617525900871179,0.02310484161174571,0.0845858811248749,0.024300919176307903,0.008778619680807351,0.0079279410692145,0.09077563004648888,0.062120090753570084,0.0,0.0,0.0,0,0,0,0,0,1.4503606760016665,0,8,41,0.38788215913223945,0.539146558882794,2.5460137709272654,2.3104075892118465,7.037704231252619,0,0,0,1,0,3.0,1,698,702,936,945,0.6297229219143576,521.4789
0.91,0.48,0.25,0.75,53.639,49.00899999999999,2.0,52.635025,0.0,3.0,1,0,159.53333333,10.0,0,2.0795,0.0,0.0,0.1209,1.9411,2.6901,0.0085,0.0,0.0021,0.0,0.0,0.0,4,1,0,0,0.0,0,0.0,0,0,0,0,1,1,0.1221008748752275,0.0081628519343731,0.14782575584494706,0.02391603915327922,0.012481644640234948,0.0,0.02079207920792079,0.0,0.0,0.0,3.0,2,1,0,1,0,14.461352150201412,1,670,676,0.41823504809703055,0.4774425469317772,1.3601725377426312,1.3946053946053947,30.27964601769911,0,0,1,0,0,1.0,1,698,702,936,945,0.062292358805280154,105.27005
7.39,11.0,5.0,8.38,0.0,0.0,2.0,41.816525,0.0,4.0,0,1,85.633333333,25.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,1,0,0,0,8.603971445763142,0,3,95,0.42113877435397057,0.0,4.0487194823555,3.9154771691203947,0.0,0,0,1,0,0,1.0,0,1,94,1435,1428,0.2885725278964547,41.816525
0.43,0.7,2.25,0.0,0.0,0.0,2.0,39.863416667,0.0,3.0,0,0,130.2,23.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1.220242740338613,0,32,35,0.6654835847382432,0.0,2.303271441202476,1.3838294091514884,0.0,0,0,1,0,0,1.0,0,31,34,709,697,0.1753048780487805,79.726833334
5.39,4.22,2.75,3.13,47.659,23.868,2.0,55.29135,0.0,3.0,0,1,170.7,15.0,0,14.0919,0.0,0.0,0.2239,1.5669,10.2209,0.068,0.0,0.0127,0.4316,0.0,0.0,3,1,0,0,0.0,0,0.0,0,0,0,0,0,0,0.057412273732842814,0.01709029845049996,0.5779786056805607,0.0625931619011458,0.041187159297395526,0.0,0.0156596794081381,0.004291068889750549,0.0,0.0,189.0,1,1,0,0,0,0.0,1,1281,1281,0.3795752372345233,0.3336875069902695,5.380397461242328,4.472368644788301,4.337598544572469,0,0,1,0,0,1.0,1,1325,1325,1801,1813,0.08736167734420501,110.5827
4.52,5.7,1.13,1.0,0.0,0.0,2.0,176.76996667,0.0,4.0,1,0,168.36666667,25.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,1,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0,0,0,5.428891012897029,0,23,39,0.17245567160553804,0.0,0.9983367576558069,0.5269826372595027,0.0,0,0,1,0,0,3.0,0,25,41,1435,1428,0.14760873843441039,176.76996667
2.13,2.78,1.38,1.75,0.0,0.0,2.0,53.615916667,0.0,4.0,0,0,65.9,25.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,2,1,1,0,0,0.0,0,307,310,0.38925506777763963,0.0,4.341274689472612,2.679655062280422,0.0,0,0,1,0,0,1.0,0,314,317,627,647,0.37369207772795215,53.615916667
10.22,6.57,2.25,2.63,63.879,79.083,1.0,107.91963333,1.0,3.0,1,0,122.46666667,14.0,1,16.8449,0.0,0.0,0.4037,6.1131,8.9774,0.4082,0.4764,0.0042,0.0,0.5452,0.0,3,0,0,1,2.0,1,0.0,0,0,0,0,0,0,0.17464723019979053,0.03862788249928237,0.8237569060773481,0.026912204232255436,0.04160636020792988,0.04047234729419761,0.011965811965811965,0.0,0.0328216242249112,0.0,48.0,3,1,0,1,0,2.1900500623712134,0,253,253,0.22518573208435236,0.5531711002147409,1.3637067476624383,1.0188485965990575,6.306219673577415,0,0,0,0,0,4.0,0,263,263,397,391,0.11339092872264064,215.83926666
1.57,2.57,0.88,1.0,0.0,0.0,1.0,34.530008333000005,0.0,4.0,0,1,67.833333333,25.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,1,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2,1,1,0,0,5.941509239594549,0,365,394,0.3122404916126889,0.0,1.6957256701279884,1.8437001594896334,0.0,0,0,1,0,0,1.0,0,22,393,709,697,0.36319612590974915,34.530008333000005
2.52,2.57,4.63,3.75,0.0,0.0,2.0,34.458025,0.0,3.0,1,0,165.6,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,6,6,0.6220770544131838,0.0,7.312119426438813,7.487531320844769,0.0,0,0,0,0,1,1.0,0,6,6,270,263,0.03601440576230492,68.91605
